id_venda,id_vendedor,id_cliente,data_venda,id_produto,quantidade
1,4,863,09/05/2022,18,1
2,2,817,12/06/2022,41,8
3,2,418,18/07/2022,4,1
4,7,213,13/03/2022,6,1
5,4,582,24/04/2022,22,1
6,3,599,03/03/2022,17,1
7,7,519,23/11/2022,8,1
8,1,318,04/11/2022,3,1
9,5,758,30/06/2022,23,2
10,7,521,12/02/2022,7,1
11,2,403,09/09/2022,18,1
12,2,902,04/06/2022,29,1
13,5,883,17/05/2022,4,1
14,7,455,09/01/2022,45,4
15,4,752,20/12/2022,9,1
16,7,840,01/01/2022,34,1
17,4,5,21/09/2022,24,1
18,7,833,21/08/2022,43,3
19,6,275,28/12/2022,40,2
20,3,558,06/11/2022,38,8
21,5,489,15/10/2022,42,2
22,7,485,20/01/2022,46,3
23,5,65,02/01/2022,21,3
24,5,199,17/12/2022,15,1
25,7,151,10/06/2022,10,1
26,2,599,18/07/2022,1,1
27,2,819,08/07/2022,32,2
28,2,201,21/01/2022,35,3
29,2,633,19/10/2022,21,3
30,1,374,05/03/2022,10,1
31,6,773,30/04/2022,37,6
32,7,188,18/10/2022,25,1
33,5,458,30/11/2022,26,1
34,7,81,05/01/2022,5,1
35,1,470,17/11/2022,28,2
36,1,298,13/12/2022,20,1
37,7,454,22/10/2022,10,1
38,7,236,23/06/2022,18,1
39,6,286,03/03/2022,6,1
40,5,146,22/10/2022,2,1
41,1,547,08/01/2022,33,2
42,7,667,18/10/2022,42,4
43,6,853,05/12/2022,6,1
44,3,555,26/04/2022,2,1
45,3,845,18/07/2022,25,1
46,1,761,16/01/2022,21,3
47,3,198,08/07/2022,20,1
48,1,316,13/01/2022,43,5
49,2,681,09/05/2022,23,3
50,6,81,14/01/2022,1,1
51,3,28,05/12/2022,10,1
52,2,690,04/03/2022,23,2
53,5,56,27/03/2022,10,1
54,4,398,06/09/2022,33,2
55,7,452,26/10/2022,35,1
56,5,59,09/07/2022,15,1
57,6,261,27/07/2022,7,1
58,2,102,05/09/2022,24,3
59,4,837,04/09/2022,21,1
60,6,334,08/02/2022,6,1
61,4,259,10/12/2022,38,6
62,1,93,13/01/2022,6,1
63,5,539,01/04/2022,26,2
64,6,690,18/06/2022,37,2
65,3,755,30/06/2022,46,2
66,5,412,19/12/2022,38,3
67,3,586,21/12/2022,11,2
68,5,580,05/12/2022,45,5
69,5,690,27/02/2022,40,2
70,7,225,18/04/2022,31,3
71,3,831,13/10/2022,28,3
72,2,10,29/12/2022,4,1
73,7,644,03/06/2022,15,1
74,2,340,31/07/2022,23,1
75,4,539,15/11/2022,25,3
76,4,509,25/05/2022,7,1
77,1,142,30/06/2022,35,3
78,1,178,25/09/2022,25,1
79,2,258,29/08/2022,15,1
80,3,233,08/08/2022,32,1
81,5,406,04/12/2022,41,7
82,7,114,26/03/2022,25,1
83,4,242,06/01/2022,8,1
84,5,125,26/03/2022,3,1
85,6,217,08/04/2022,29,2
86,3,751,04/05/2022,1,1
87,7,764,19/01/2022,9,1
88,6,154,31/10/2022,23,3
89,7,15,25/02/2022,33,3
90,3,887,06/12/2022,7,1
91,2,495,17/02/2022,26,1
92,5,378,10/05/2022,20,1
93,3,57,16/12/2022,46,6
94,1,756,01/08/2022,39,4
95,7,719,21/10/2022,18,1
96,4,728,21/09/2022,39,6
97,7,177,22/09/2022,45,5
98,2,393,29/04/2022,46,7
99,1,318,07/03/2022,27,2
100,1,285,26/11/2022,38,3
101,6,3,24/08/2022,12,2
102,7,143,20/10/2022,21,1
103,7,633,11/11/2022,40,7
104,1,248,07/02/2022,42,3
105,7,545,13/10/2022,2,1
106,3,916,30/01/2022,38,7
107,6,317,21/04/2022,26,3
108,3,238,15/11/2022,17,1
109,5,923,12/01/2022,6,1
110,5,867,24/12/2022,9,1
111,6,890,13/12/2022,15,1
112,6,15,20/07/2022,45,8
113,2,659,10/09/2022,23,3
114,6,434,27/10/2022,37,2
115,3,126,01/07/2022,44,8
116,3,620,25/11/2022,35,2
117,7,556,23/08/2022,36,7
118,6,16,19/07/2022,11,2
119,1,558,23/02/2022,34,3
120,6,252,05/12/2022,33,3
121,4,281,26/05/2022,6,1
122,4,692,06/10/2022,35,2
123,4,804,26/02/2022,35,2
124,1,423,13/08/2022,3,1
125,6,103,11/04/2022,34,1
126,2,808,16/06/2022,9,1
127,1,191,23/01/2022,13,1
128,3,861,30/10/2022,11,1
129,1,232,05/03/2022,20,1
130,4,153,05/10/2022,19,2
131,4,373,16/10/2022,34,2
132,1,596,25/07/2022,20,1
133,2,109,09/05/2022,41,3
134,3,890,18/06/2022,9,1
135,2,228,21/04/2022,39,8
136,7,848,16/07/2022,8,1
137,6,101,18/01/2022,34,2
138,1,914,27/11/2022,34,3
139,2,703,23/07/2022,34,3
140,1,239,23/06/2022,35,2
141,4,284,12/11/2022,26,2
142,4,88,07/08/2022,41,7
