id_venda,id_vendedor,id_cliente,data_venda,id_produto,quantidade
1,4,18,10/12/2021,28,2
2,6,518,13/03/2021,27,2
3,5,461,22/07/2021,47,3
4,1,517,02/03/2021,25,2
5,6,928,23/04/2021,43,8
6,7,158,08/10/2021,42,4
7,3,589,17/06/2021,36,4
8,6,831,27/09/2021,23,3
9,1,751,07/04/2021,13,1
10,3,16,06/02/2021,44,3
11,1,916,15/08/2021,2,1
12,6,119,03/02/2021,20,1
13,6,353,22/05/2021,5,1
14,1,63,15/01/2021,31,3
15,2,466,24/12/2021,19,1
16,7,355,10/11/2021,13,1
17,6,787,29/01/2021,37,2
18,6,482,25/10/2021,27,2
19,5,264,13/11/2021,5,1
20,6,740,10/10/2021,17,1
21,3,187,01/06/2021,7,1
22,3,126,28/11/2021,12,1
23,6,484,01/04/2021,39,3
24,6,915,11/11/2021,17,1
25,6,62,27/02/2021,4,1
26,3,589,04/03/2021,1,1
27,4,888,26/05/2021,17,1
28,2,421,13/06/2021,2,1
29,5,581,10/06/2021,43,4
30,2,87,02/03/2021,1,1
31,2,910,19/09/2021,31,1
32,3,585,06/03/2021,4,1
33,1,212,03/09/2021,35,3
34,5,632,06/01/2021,18,1
35,5,690,29/04/2021,44,6
36,2,312,22/04/2021,26,2
37,3,447,22/03/2021,18,1
38,2,290,06/07/2021,46,3
39,7,288,02/01/2021,8,1
40,4,257,29/10/2021,45,3
41,4,738,06/01/2021,13,1
42,6,301,14/05/2021,38,3
43,6,245,18/06/2021,41,2
44,1,584,23/06/2021,14,1
45,7,597,10/11/2021,26,3
46,2,460,27/04/2021,7,1
47,4,610,08/04/2021,43,7
48,5,16,12/12/2021,46,6
49,6,656,21/03/2021,8,1
50,1,651,25/04/2021,17,1
51,7,584,20/03/2021,6,1
52,4,491,10/03/2021,23,2
53,1,149,10/04/2021,42,4
54,6,202,02/11/2021,32,1
55,3,380,19/09/2021,4,1
56,5,71,07/10/2021,40,4
57,5,595,11/07/2021,12,1
58,5,717,08/03/2021,26,1
59,6,680,18/10/2021,16,2
60,6,288,14/05/2021,6,1
61,4,592,17/04/2021,23,2
62,5,614,19/04/2021,16,1
