id_venda,id_vendedor,id_cliente,data_venda,id_produto,quantidade
1,2,808,18/02/2023,19,2
2,5,8,06/03/2023,4,1
3,6,272,10/11/2023,3,1
4,4,582,13/02/2023,23,3
5,2,368,28/05/2023,14,2
6,7,320,16/05/2023,34,2
7,4,136,06/01/2023,5,1
8,4,40,17/01/2023,43,3
9,4,418,07/08/2023,41,5
10,1,899,16/04/2023,26,1
11,7,527,23/07/2023,13,1
12,2,202,02/03/2023,22,1
13,6,14,10/08/2023,33,2
14,6,389,29/05/2023,32,1
15,4,661,06/10/2023,28,2
16,6,775,12/12/2023,19,1
17,7,637,21/10/2023,9,1
18,5,791,04/05/2023,1,1
19,7,250,12/05/2023,3,1
20,2,413,14/08/2023,18,1
21,3,6,09/06/2023,23,2
22,1,208,28/07/2023,14,2
23,4,374,23/04/2023,31,2
24,3,296,11/08/2023,8,1
25,1,379,09/08/2023,20,1
26,2,476,13/03/2023,47,8
27,3,291,01/08/2023,33,3
28,3,579,19/02/2023,42,8
29,2,759,08/09/2023,12,1
30,4,571,18/01/2023,43,2
31,1,118,04/05/2023,2,1
32,4,115,08/11/2023,23,1
33,2,433,05/01/2023,24,3
34,6,614,25/06/2023,19,1
35,1,517,25/06/2023,16,1
36,6,215,09/02/2023,11,1
37,6,153,17/12/2023,11,1
38,7,879,31/05/2023,34,2
39,1,212,22/06/2023,40,4
40,1,401,12/10/2023,28,1
41,2,631,26/06/2023,13,1
42,1,928,08/04/2023,1,1
43,6,599,15/12/2023,24,3
44,1,656,07/11/2023,3,1
45,2,784,04/02/2023,5,1
46,6,252,26/05/2023,11,1
47,1,472,15/07/2023,21,2
48,6,2,23/08/2023,2,1
49,2,503,23/06/2023,10,1
50,2,902,08/01/2023,25,3
51,5,16,18/08/2023,10,1
52,7,108,15/06/2023,20,1
53,5,32,20/07/2023,40,6
54,4,754,16/08/2023,8,1
55,1,181,20/02/2023,19,1
56,4,243,10/10/2023,7,1
57,4,592,21/01/2023,33,1
58,2,874,01/02/2023,7,1
59,4,401,08/10/2023,33,3
60,1,386,26/03/2023,1,1
61,6,516,29/04/2023,25,3
62,1,578,07/01/2023,6,1
63,4,753,03/02/2023,17,1
64,4,902,19/07/2023,8,1
65,6,114,30/07/2023,10,1
66,2,191,15/03/2023,16,1
67,2,134,12/09/2023,20,1
68,3,308,02/04/2023,19,1
69,5,65,15/11/2023,29,2
70,3,231,27/07/2023,36,8
71,3,539,30/08/2023,26,3
72,4,579,30/07/2023,25,2
73,5,516,16/03/2023,7,1
74,2,20,21/01/2023,32,2
